iter	Passed	Remaining
663	29461	14908
664	29505	14863
665	29552	14820
666	29597	14776
667	29640	14731
668	29684	14686
669	29727	14641
670	29772	14597
671	29816	14553
672	29860	14508
673	29904	14464
674	29948	14419
675	29993	14375
676	30035	14330
677	30079	14285
678	30124	14241
679	30167	14196
680	30210	14151
681	30256	14107
682	30299	14063
683	30347	14020
684	30389	13974
685	30433	13930
686	30480	13886
687	30523	13842
688	30566	13797
689	30610	13752
690	30654	13708
691	30700	13664
692	30743	13619
693	30787	13574
694	30831	13530
695	30875	13485
696	30919	13441
697	30962	13396
698	31005	13351
699	31049	13306
700	31094	13262
701	31138	13218
702	31185	13175
703	31229	13130
704	31274	13086
705	31320	13042
706	31367	12999
707	31410	12954
708	31453	12909
709	31497	12865
710	31541	12820
711	31585	12776
712	31629	12731
713	31674	12687
714	31718	12642
715	31762	12598
716	31806	12554
717	31849	12509
718	31892	12464
719	31935	12419
720	31979	12374
721	32023	12330
722	32067	12285
723	32111	12241
724	32155	12196
725	32199	12152
726	32243	12108
727	32289	12064
728	32337	12021
729	32384	11977
730	32429	11933
731	32473	11889
732	32517	11844
733	32563	11800
734	32608	11756
735	32653	11712
736	32699	11668
737	32744	11624
738	32788	11580
739	32832	11535
740	32877	11491
741	32913	11444
742	32957	11399
743	33002	11355
744	33046	11311
745	33092	11267
746	33139	11223
747	33187	11180
748	33233	11136
749	33276	11092
750	33323	11048
751	33368	11004
752	33413	10960
753	33458	10916
754	33503	10872
755	33548	10827
756	33591	10783
757	33635	10738
758	33680	10694
759	33723	10649
760	33770	10606
761	33815	10561
762	33858	10517
763	33901	10472
764	33945	10427
765	33988	10383
766	34035	10339
767	34080	10295
768	34123	10250
769	34168	10206
770	34213	10162
771	34257	10117
772	34301	10072
773	34344	10028
774	34389	9983
775	34432	9939
776	34476	9894
777	34519	9850
778	34561	9805
779	34606	9760
780	34650	9716
781	34697	9672
782	34741	9628
783	34785	9583
784	34829	9539
785	34872	9494
786	34916	9450
787	34959	9405
788	35003	9360
789	35046	9316
790	35093	9272
791	35138	9228
792	35186	9184
793	35233	9141
794	35277	9096
795	35325	9053
796	35372	9009
797	35416	8965
798	35460	8920
799	35503	8875
800	35546	8831
801	35590	8786
802	35634	8742
803	35680	8698
804	35727	8654
805	35771	8610
806	35815	8565
807	35864	8522
808	35910	8478
809	35955	8434
810	35999	8389
811	36043	8345
812	36087	8300
813	36130	8255
814	36174	8211
815	36218	8166
816	36261	8122
817	36308	8078
818	36352	8033
819	36396	7989
820	36440	7945
821	36484	7900
822	36528	7856
823	36574	7811
824	36618	7767
825	36663	7723
826	36707	7678
827	36750	7634
828	36794	7589
829	36811	7539
830	36856	7495
831	36899	7450
832	36943	7406
833	36986	7361
834	37030	7317
835	37074	7273
836	37118	7228
837	37166	7184
838	37209	7140
839	37253	7095
840	37298	7051
841	37342	7007
842	37389	6963
843	37434	6919
844	37477	6874
845	37522	6830
846	37565	6785
847	37610	6741
848	37654	6697
849	37697	6652
850	37741	6608
851	37785	6563
852	37829	6519
853	37872	6474
854	37916	6430
855	37960	6385
856	38003	6341
857	38050	6297
858	38093	6252
859	38140	6208
860	38186	6164
861	38230	6120
862	38275	6076
863	38319	6031
864	38367	5988
865	38414	5944
866	38460	5899
867	38505	5855
868	38550	5811
869	38593	5766
870	38637	5722
871	38681	5677
872	38724	5633
873	38769	5589
874	38814	5544
875	38858	5500
876	38901	5455
877	38945	5411
878	38989	5367
879	39034	5322
880	39077	5278
881	39121	5233
882	39164	5189
883	39210	5145
884	39254	5100
885	39300	5056
886	39344	5012
887	39388	4967
888	39432	4923
889	39475	4879
890	39519	4834
891	39563	4790
892	39608	4745
893	39652	4701
894	39696	4657
895	39740	4612
896	39784	4568
897	39827	4523
898	39870	4479
899	39914	4434
900	39958	4390
901	40001	4346
902	40045	4301
903	40089	4257
904	40133	4212
905	40179	4168
906	40223	4124
907	40268	4080
908	40312	4035
909	40356	3991
910	40399	3946
911	40443	3902
912	40487	3858
913	40532	3813
914	40575	3769
915	40620	3725
916	40664	3680
917	40692	3634
918	40739	3590
919	40784	3546
920	40829	3502
921	40873	3457
922	40917	3413
923	40962	3369
924	41005	3324
925	41049	3280
926	41100	3236
927	41144	3192
928	41199	3148
929	41245	3104
930	41291	3060
931	41335	3015
932	41380	2971
933	41428	2927
934	41471	2883
935	41515	2838
936	41562	2794
937	41608	2750
938	41651	2705
939	41700	2661
940	41745	2617
941	41790	2573
942	41834	2528
943	41877	2484
944	41921	2439
945	41964	2395
946	42007	2351
947	42052	2306
948	42096	2262
949	42139	2217
950	42183	2173
951	42227	2129
952	42272	2084
953	42317	2040
954	42361	1996
955	42406	1951
956	42450	1907
957	42493	1862
958	42537	1818
959	42581	1774
960	42625	1729
961	42669	1685
962	42713	1641
963	42757	1596
964	42800	1552
965	42843	1507
966	42890	1463
967	42935	1419
968	42980	1375
969	43023	1330
970	43066	1286
971	43112	1241
972	43155	1197
973	43203	1153
974	43248	1108
975	43291	1064
976	43335	1020
977	43378	975
978	43421	931
979	43466	887
980	43509	842
981	43555	798
982	43600	754
983	43655	709
984	43712	665
985	43758	621
986	43802	576
987	43846	532
988	43889	488
989	43934	443
990	43978	399
991	44021	355
992	44066	310
993	44109	266
994	44153	221
995	44197	177
996	44242	133
997	44286	88
998	44329	44
999	44373	0
